player,player_team,opponent_team,runs_batter,balls_faced,strike_rate,role,runs_bowler,bowler_wicket,ball_no,overs,economy
AD Mathews,Delhi Capitals,Punjab Kings,6.0,4.0,150.0,batter,,,,,
AD Mathews,Delhi Capitals,Rajasthan Royals,43.0,31.0,138.70967741935485,batter,,,,,
AD Mathews,Delhi Capitals,Royal Challengers Bengaluru,1.0,4.0,25.0,batter,,,,,
AD Mathews,Delhi Capitals,Sunrisers Hyderabad,46.0,34.0,135.29411764705884,batter,,,,,
AD Mathews,Kolkata Knight Riders,Chennai Super Kings,54.0,61.0,88.52459016393442,batter,,,,,
AD Mathews,Kolkata Knight Riders,Delhi Capitals,70.0,46.0,152.17391304347828,batter,,,,,
AD Mathews,Kolkata Knight Riders,Mumbai Indians,3.0,3.0,100.0,batter,,,,,
AD Mathews,Kolkata Knight Riders,Punjab Kings,36.0,22.0,163.63636363636365,batter,,,,,
AD Mathews,Kolkata Knight Riders,Royal Challengers Bengaluru,17.0,15.0,113.33333333333333,batter,,,,,
AD Mathews,Kolkata Knight Riders,Sunrisers Hyderabad,69.0,50.0,138.0,batter,,,,,
AD Mathews,Other,Chennai Super Kings,27.0,22.0,122.72727272727273,batter,,,,,
AD Mathews,Other,Delhi Capitals,36.0,24.0,150.0,batter,,,,,
AD Mathews,Other,Kolkata Knight Riders,75.0,55.0,136.36363636363635,batter,,,,,
AD Mathews,Other,Mumbai Indians,19.0,20.0,95.0,batter,,,,,
AD Mathews,Other,Punjab Kings,15.0,13.0,115.38461538461537,batter,,,,,
