bowler,batting_team,runs_conceded,wickets,balls,overs,economy,average,strike_rate
A Choudhary,Punjab Kings,17,2,24,4.0,4.25,8.5,12.0
A Choudhary,Sunrisers Hyderabad,55,1,28,4.666666666666667,11.785714285714285,55.0,28.0
A Dananjaya,Delhi Capitals,47,0,25,4.166666666666667,11.28,47.0,25.0
A Flintoff,Delhi Capitals,50,0,24,4.0,12.5,50.0,24.0
A Flintoff,Mumbai Indians,44,1,24,4.0,11.0,44.0,24.0
A Flintoff,Royal Challengers Bengaluru,11,1,18,3.0,3.6666666666666665,11.0,18.0
A Kamboj,Delhi Capitals,35,3,25,4.166666666666667,8.399999999999999,11.666666666666666,8.333333333333334
A Kamboj,Gujarat Titans,13,3,15,2.5,5.2,4.333333333333333,5.0
A Kamboj,Kolkata Knight Riders,113,5,76,12.666666666666666,8.921052631578947,22.6,15.2
A Kamboj,Lucknow Super Giants,68,1,40,6.666666666666667,10.2,68.0,40.0
A Kamboj,Punjab Kings,63,2,36,6.0,10.5,31.5,18.0
A Kamboj,Rajasthan Royals,48,3,36,6.0,8.0,16.0,12.0
A Kamboj,Royal Challengers Bengaluru,77,1,44,7.333333333333333,10.5,77.0,44.0
A Kamboj,Sunrisers Hyderabad,58,2,45,7.5,7.733333333333333,29.0,22.5
A Kumble,Chennai Super Kings,113,7,145,24.166666666666668,4.675862068965517,16.142857142857142,20.714285714285715
A Kumble,Delhi Capitals,127,5,122,20.333333333333332,6.245901639344263,25.4,24.4
A Kumble,Kolkata Knight Riders,101,4,115,19.166666666666668,5.269565217391304,25.25,28.75
A Kumble,Mumbai Indians,181,3,135,22.5,8.044444444444444,60.333333333333336,45.0
A Kumble,Punjab Kings,189,4,145,24.166666666666668,7.820689655172413,47.25,36.25
A Kumble,Rajasthan Royals,108,9,128,21.333333333333332,5.0625,12.0,14.222222222222221
A Kumble,Sunrisers Hyderabad,239,13,193,32.166666666666664,7.430051813471503,18.384615384615383,14.846153846153847
A Mishra,Chennai Super Kings,401,13,345,57.5,6.973913043478261,30.846153846153847,26.53846153846154
A Mishra,Delhi Capitals,243,6,177,29.5,8.23728813559322,40.5,29.5
A Mishra,Gujarat Titans,9,1,12,2.0,4.5,9.0,12.0
A Mishra,Kolkata Knight Riders,482,17,431,71.83333333333333,6.709976798143852,28.352941176470587,25.352941176470587
A Mishra,Mumbai Indians,637,25,515,85.83333333333333,7.421359223300971,25.48,20.6
A Mishra,Other,243,13,215,35.833333333333336,6.781395348837209,18.692307692307693,16.53846153846154
A Mishra,Punjab Kings,544,22,415,69.16666666666667,7.865060240963855,24.727272727272727,18.863636363636363
A Mishra,Rajasthan Royals,518,31,459,76.5,6.771241830065359,16.70967741935484,14.806451612903226
A Mishra,Rising Pune Supergiants,75,4,76,12.666666666666666,5.921052631578948,18.75,19.0
A Mishra,Royal Challengers Bengaluru,496,19,375,62.5,7.936,26.105263157894736,19.736842105263158
A Mishra,Sunrisers Hyderabad,497,23,424,70.66666666666667,7.033018867924528,21.608695652173914,18.434782608695652
A Mithun,Chennai Super Kings,89,2,57,9.5,9.368421052631579,44.5,28.5
A Mithun,Delhi Capitals,76,3,49,8.166666666666666,9.306122448979593,25.333333333333332,16.333333333333332
A Mithun,Kolkata Knight Riders,51,1,39,6.5,7.846153846153846,51.0,39.0
A Mithun,Mumbai Indians,99,0,58,9.666666666666666,10.241379310344827,99.0,58.0
A Mithun,Other,66,1,51,8.5,7.764705882352941,66.0,51.0
A Mithun,Punjab Kings,58,0,39,6.5,8.923076923076923,58.0,39.0
A Mithun,Sunrisers Hyderabad,33,0,19,3.1666666666666665,10.421052631578949,33.0,19.0
A Nehra,Chennai Super Kings,255,11,200,33.333333333333336,7.6499999999999995,23.181818181818183,18.181818181818183
A Nehra,Delhi Capitals,163,8,132,22.0,7.409090909090909,20.375,16.5
A Nehra,Kolkata Knight Riders,279,7,224,37.333333333333336,7.473214285714286,39.857142857142854,32.0
A Nehra,Mumbai Indians,357,17,261,43.5,8.206896551724139,21.0,15.352941176470589
A Nehra,Other,77,1,73,12.166666666666666,6.328767123287672,77.0,73.0
A Nehra,Punjab Kings,363,16,278,46.333333333333336,7.834532374100719,22.6875,17.375
A Nehra,Rajasthan Royals,214,10,197,32.833333333333336,6.5177664974619285,21.4,19.7
A Nehra,Rising Pune Supergiants,55,4,54,9.0,6.111111111111111,13.75,13.5
A Nehra,Royal Challengers Bengaluru,391,23,307,51.166666666666664,7.641693811074919,17.0,13.347826086956522
A Nehra,Sunrisers Hyderabad,341,9,248,41.333333333333336,8.25,37.888888888888886,27.555555555555557
A Nel,Delhi Capitals,31,1,18,3.0,10.333333333333334,31.0,18.0
A Nortje,Chennai Super Kings,261,10,175,29.166666666666668,8.948571428571428,26.1,17.5
A Nortje,Delhi Capitals,39,0,27,4.5,8.666666666666666,39.0,27.0
A Nortje,Gujarat Titans,126,4,70,11.666666666666666,10.8,31.5,17.5
A Nortje,Kolkata Knight Riders,185,13,140,23.333333333333332,7.928571428571429,14.23076923076923,10.76923076923077
A Nortje,Lucknow Super Giants,35,0,16,2.6666666666666665,13.125,35.0,16.0
A Nortje,Mumbai Indians,284,9,179,29.833333333333332,9.5195530726257,31.555555555555557,19.88888888888889
A Nortje,Punjab Kings,121,4,92,15.333333333333334,7.891304347826087,30.25,23.0
A Nortje,Rajasthan Royals,207,8,147,24.5,8.448979591836734,25.875,18.375
A Nortje,Royal Challengers Bengaluru,110,7,101,16.833333333333332,6.534653465346535,15.714285714285714,14.428571428571429
A Nortje,Sunrisers Hyderabad,328,6,222,37.0,8.864864864864865,54.666666666666664,37.0
A Singh,Chennai Super Kings,110,2,67,11.166666666666666,9.850746268656717,55.0,33.5
A Singh,Delhi Capitals,94,3,74,12.333333333333334,7.621621621621621,31.333333333333332,24.666666666666668
A Singh,Kolkata Knight Riders,111,4,91,15.166666666666666,7.318681318681319,27.75,22.75
A Singh,Mumbai Indians,63,5,61,10.166666666666666,6.19672131147541,12.6,12.2
A Singh,Other,55,1,43,7.166666666666667,7.674418604651162,55.0,43.0
A Singh,Punjab Kings,35,4,49,8.166666666666666,4.285714285714286,8.75,12.25
A Singh,Royal Challengers Bengaluru,62,6,49,8.166666666666666,7.591836734693878,10.333333333333334,8.166666666666666
A Singh,Sunrisers Hyderabad,90,3,52,8.666666666666666,10.384615384615385,30.0,17.333333333333332
